Id,PostId,Text,CreationDate,UserId
2,1138,"Sure, I edited the question accordingly.",2012-12-19 02:58:04.620,548
7,984,Blake Edwards also did many classic serious films. The most famous probably being Breakfast at Tiffany's.  Most of the scenes in the original PP that don't include Peter Sellers feel a lot more like something out of Tiffany's than they feel like something out of the rest of the PP series.,2012-10-29 15:53:06.573,1066
12,413,"@Fosco, I'm not sure if it's appropriate.",2012-04-13 13:30:21.983,1428
20,831,@bazmegakapa - fair point.  I've also added to the question the main other role that he played in UK TV - which may have caught Lucas's eye.,2012-08-27 17:57:47.557,766
22,1609,"Oh, we have the motive for Justines behaviour: she was depressive, and depressive people can show self-destructive behaviour.",2013-04-20 06:15:18.820,1108
26,223,"@Flimzy interesting thought, although it would be strange to make a sequel that wasn't based on a novel at all. And if that was the intent, they still could have stuck with the original ending - it could have been interesting to start a sequel with Clarice escaping from Hannibal.",2012-01-24 18:16:12.747,704
27,881,"I'm quite sure there have been many sequels where the original is based on a novel, but the sequel is not. Although none come to mind immediately. But even so, your point is well taken; there's always a way to form a sequel; even when the/a main character dies (just ask the Star Trek franchise about this).",2012-09-17 13:05:31.943,454
30,952,"That does not explain exactly why she would have sex with a stranger in a golf course. To me, her depression as a motive for everything is a little too far-fetched.",2012-10-16 11:50:50.400,1312
31,772,I thought myself this sex-scene was a little bit too much. But it also can be explained along the lines of self-destructive behaviour.,2012-08-01 03:48:06.333,184
36,232,"Contradictions or plot-inconsistencies aren't the only reason for people disliking movies. I personally didn't liked Matrix too much, because I saw first the movie 'Dark City' with very much the same basic idea and that was much cooler realized. Secondly I liked the mysterious starting with 'follow the white rabbit', but it solved itself very fast and in a boring way. So very much disappointed expectations.",2012-01-26 02:47:14.923,80
40,634,Hmm I could see that for a city not situated on a island nation. If a nuclear explosion were to happen in New York it would affect the surrounding areas of the U.S. Now who is going to intervene in battles in the US? The UN? sounds weird doesn't it? The plot itself would have to be changed.,2012-06-21 18:08:25.707,31
41,1096,"@Alonzo: Wouldn't be the first time Hollywood threw logic to the wind, especially when it comes to action blockbusters, which is almost certainly what they want to spin Akira as.",2012-12-10 09:54:20.927,224
42,1282,"@Flimzy, look for 'Plinkett Star Wars review'. I don't want to give a link because it contains mature language and themes.",2013-01-15 14:39:36.783,118
54,1365,@Shog9 - maybe you should've tagged that with our evolutionary biology site. (does that exist yet?),2013-02-04 19:36:12.480,271
56,1227,"Flimzy, Did you know Breakfast at Tiffany's have a homage to the Marx's Brothers stateroom gag?",2013-01-03 00:19:30.860,195
58,638,"I disagree about ""actually stops it from running"" - he just started to hunt the Agents down - the Matrix is bigger than those Agents though.",2012-06-22 11:57:53.813,1352
59,1722,So we can conclude that in the first volume : she is just an unknown killer. In vol 2 we learn her story and why she deserves her revenge and that is where she earns a name.,2013-05-19 20:53:38.950,544
61,1505,"at the end of the film, the screen says 'search running' and then it freezes with an error message implying the whole system has frozen.",2013-03-17 05:53:56.573,438
62,1131,"After watching the linked video, I shouted: Nooooooooooooo!",2012-12-18 02:41:28.433,1141
65,1745,"I mean I guess it's simply a case of ""oh, it did really well, let's make a sequel"" so they had to work around a few things. but still, it is a plot hole.",2013-05-25 15:11:00.600,235
67,1339,here's the [list of changes](http://www.movieweb.com/news/star-wars-the-complete-saga-blu-ray-changes-revealed),2013-01-30 05:16:45.007,204
72,505,"Ah, never thought about it like that.",2012-05-12 05:18:56.053,1334
75,1116,"Oh yeah, forgot about the asylum....",2012-12-14 23:18:45.910,1429
79,304,So... Skeeter was excluded from the 2011 movie because she's female?,2012-02-24 17:56:33.897,955
80,304,"No, I am going with Skeeter was excluded based on her previous exclusion from the Muppet Show and previous Muppet Movies. @Abby",2012-02-24 20:56:33.897,962
81,730,"I am aware of this as documented on IMDb, what do you know about other scenes?",2012-07-20 14:29:11.447,1385
83,615,"Sorry, I didn't mean to be accusatory, especially not at you (you didn't write the films!). It sounds like Skeeter was created because the Muppet Babies needed a female character. But I think the gender ratio in the rest of the films is equally imbalanced, so I'm not sure it makes much sense to continue leaving her out (if that was indeed the sole reason for including her).",2012-06-16 14:23:55.390,173
84,1383,I stand completely corrected: most muppets in the recent film were apparently *not* played by their original puppeteers.,2013-02-09 19:31:22.153,1325
93,1122,"To be quite quite honest, that's not the question in your title. The majority of your question is why Skeeter was out not about rights. You should at least change the title to reflect that. Bolding it doesn't change the fact that there are two questions in your body.",2012-12-16 00:37:06.717,1315
94,1582,VTC's because this is something that you can easily find on wikipedia: http://en.wikipedia.org/wiki/Performance_capture,2013-04-10 20:36:46.327,1159
95,894,"Aren't ""You'll be fed each line when he's ready to feed it to you"" and ""They are moving and speaking at a real life pace"" contradictory?",2012-09-23 07:48:26.893,992
97,459,"oops, fixed the baby doll issue",2012-04-26 13:25:40.563,390
98,1150,"@puri, it may or may not be contradictory. It's been said that ""art abstracts the essence of life"". That means that normal human dialogue and action is condensed to fit the film format. I believe that Kubrick does what is normal in life but abnormal in film. So, on film, characters seem slow and distracted and boring. That natural human flow seems to contradict what seems natural on film.",2012-12-20 08:56:03.023,1693
100,468,"@Seth Rogers: I don't know about the rest of the movie, but I'm quite confident the trivia would have mentioned it if several scenes had been improvised, instead of specifying only the one.",2012-04-30 08:26:59.960,1311
102,69,"Do any of these documentaries actually discuss the original PP movie, though?",2011-12-08 02:48:01.877,1006
104,234,I think the question is good. And the great answer made it even better.,2012-01-26 16:14:41.383,1655
107,64,I suppose it was to make her known and then put her in some small scene with Fett's son for training But as we see later it doesn't happen. Cut in the script somewhere?,2011-12-07 22:26:39.080,317
120,1081,"That argument isn't very strong, because it means that we should also see french remakes of Hollywood-movies. But that seldom happens. The style in the named movies often does not differ much. They are pretty much the same movies, only with different actors. The Magnificient Seven changes the setting - from Samurais to Cowboys - but aside from that it's the same.",2012-12-04 20:48:27.577,401
122,706,"I'm not sure it's true that the argument implies that we'd see French (etc) remakes of Hollywood movies - the American film industry is much larger than the film industry in many other countries. According to [Wikipedia](http://en.wikipedia.org/wiki/Cinema_of_the_United_States) it grosses more money each year than the film industry in any other country. So, maybe Hollywood produces more movies and is more inclined to do such remakes.",2012-07-13 22:31:05.943,396
124,1231,"Hollywood makes the most international successes. If I go to local film-festivals like Berlinale or FantasyFilmFest I concentrate on movies from asia or europe, as the Hollywood-movies surely will start shortly afterwards in the cinemas here in germany. So Hollywood makes the most money with movies, but not the most movies. Bollywood and Hongkong produce around the same number on movies in a year. Europe has no centralized film-making city, but in a whole it may produce also a comparable number of movies. Even Nigeria produces amass of movies. So more money, but not more movies in Hollywood.",2013-01-03 16:59:34.573,167
126,1088,Pertinent in light of the upcoming *Girl with the Dragon Tattoo* films.,2012-12-06 19:04:47.157,1409
128,613,"Btw, I know the answer to this. I am just waiting for people to clear up things in Movies Chat room.",2012-06-15 17:29:36.000,162
131,1576,+1 Sounds more appropriate than my idea.,2013-04-09 14:17:03.483,1275
134,1476,"I don't think Mr Shyamalan put that much thought into this. He probably rather wanted a stunning twist at the end. Interresting question, though.",2013-03-11 14:27:01.033,678
137,969,"@Flimzy Jurrasic Park: (you could argue that the second movie wasn't based on the second novel, but there were only 2 books either way).",2012-10-24 03:15:03.767,295
139,1224,@ChrisRasys there is also a third movie that definitely wasn't based on any novel. Good point.,2013-01-02 01:16:43.683,488
142,815,"Lots, lots, lots and lots of inconsistences. Yet they didn't ruin the movies alone.",2012-08-23 21:41:47.880,1376
143,1154,"I don't think this question is very answerable, because there are many reasons to do a re-make, and without interviewing everyone involved in every remake ever, we cannot get a definitive answer.  And the short answer sounds rather lame:  ""To make money.""",2012-12-21 09:19:13.337,1210
144,1322,For convenience: [Identify This Movie Questions? on Meta](http://meta.movies.stackexchange.com/questions/32/identify-this-movie-questions),2013-01-24 18:44:05.133,1309
147,1737,"Nope, I meant in the not-myth sense. I know that Persephone is the daughter of Zeus and blah blah blah...",2013-05-22 11:29:59.597,264
148,1178,@matt_black: I don't remember the twist in Pulp Fiction. What was it?,2012-12-24 16:26:09.313,1569
153,459,"Instead of 3PO, I think you mean R2. +1 though",2012-04-27 05:25:40.563,1637
155,1614,May be some scenes and plot elements match but nothing else is common in between. Manichitrathazhu seems to be an original work.,2013-04-22 08:02:14.030,1314
161,1103,"I your answer is ""To make money"", you don't explain why mostly Hollywood want to make the money and not europe or asia.",2012-12-11 03:52:44.060,1106
164,1379,That I can easily believe.  Ustinov did often take 'light comedy' type parts - he even played Poirot with a bit of a comic edge - but I would agree that he's no 'explosive comic talent'.,2013-02-08 22:38:26.567,621
165,531,"i have no evidence, but I guess the Bourne series had a lot to do with it.",2012-05-17 11:40:45.507,407
166,1479,"Good point. It could also be cyclical - since Hollywood has more money, they have the resources to ""jump on"" a good foreign film and redo it, whereas foreign film industries don't.",2013-03-11 19:15:25.300,1022
168,197,"Thank you! I didn't remember that last sentence in Cole's quote there. I guess I was only thinking of the little girl when I said ""the rest of them seem to realize...""",2012-01-16 09:43:12.047,1259
171,919,"Bond is now more Superman than Batman, you might say.",2012-10-03 22:57:23.483,1182
172,196,"And they also changed the initial animation of bond firing at the screen, a tradition followed for the last couple of decades.",2012-01-16 13:06:23.373,1300
175,1454,"@AbbyT.Miller He seems much more ""Kickass"" than ""Superman"" ;)",2013-03-02 03:02:37.163,669
177,866,Max doesn't get wounded.,2012-09-09 15:50:56.423,673
179,226,Andrew being aware of whats going on would undermine him being crazy. It is explicit in the book that he is not pretending to be Teddy but truly believes that he is Teddy. The author didn't like that line but interpreted the line as a momentary lapse of memory. I am trying to find the link. I am however not sure if Scorsese intended it to seem like a conscious decision.,2012-01-25 03:08:08.990,198
180,1334,So you're saying that Peeves is too destructive for the silver screen? Sounds like Peeves would want that.,2013-01-28 23:45:39.010,850
